,Unnamed: 0,BakerStreet,Bayswater,BondStreet,CharingCross,CoventGarden,EdgwareRoad(Bak),EdgwareRoad(Cir),Embankment,GreatPortlandStreet,GreenPark,HydeParkCorner,LancasterGate,LeicesterSquare,MaidaVale,MarbleArch,Marylebone,OxfordCircus,Paddington,PiccadillyCircus,Pimlico,Queensway,RegentsPark,RoyalOak,St.JamessPark,St.JohnsWood,Temple,TottenhamCourtRoad,Victoria,WarwickAvenue,Westminster,geometry,FROM STATION,FROM Zone,zone
0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,POINT (-0.280302701 51.50307144),ActonTown,3,3
1,1,34.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,POINT (-0.075626913 51.51434238),Aldgate,1,1
2,2,80.0,0.0,0.0,0.0,23.0,0.0,23.0,178.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,56.0,POINT (-0.073001463 51.51508162),AldgateEast,1,1
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,POINT (-0.299515759 51.54120927),Alperton,4,4
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.606513789 51.67412932),Amersham,9,9
5,5,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,86.0,92.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,163.0,14.0,0.0,POINT (-0.105581449 51.53296802),Angel,1,1
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,60.0,12.0,0.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,145.0,44.0,0.0,0.0,POINT (-0.135121577 51.56549053),Archway,"2,3",2
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.134270219 51.61623014),ArnosGrove,4,4
8,8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.105499934 51.55854138),Arsenal,2,2
9,9,0.0,32.0,0.0,103.0,0.0,11.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,27.0,0.0,0.0,97.0,175.0,201.0,2.0,12.0,0.0,17.0,0.0,0.0,0.0,13.0,177.0,104.0,27.0,POINT (-0.156904194 51.52312962),BakerStreet,1,1
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,46.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,12.0,0.0,0.0,POINT (-0.152685163 51.44318256),Balham,3,3
11,11,16.0,41.0,299.0,18.0,83.0,178.0,0.0,110.0,0.0,2.0,0.0,151.0,287.0,41.0,150.0,273.0,417.0,187.0,59.0,33.0,304.0,0.0,0.0,17.0,91.0,0.0,1351.0,223.0,47.0,0.0,POINT (-0.089000124 51.51334706),Bank/Monument,1,1
12,12,101.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,54.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,223.0,0.0,31.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,47.0,22.0,0.0,POINT (-0.097721579 51.52021528),Barbican,1,1
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,POINT (0.08083161 51.53952111),Barking,4,4
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (0.08847664 51.58585061),Barkingside,4,4
